Original Predictions,Original Values,Augmented Predictions
0.33586761355400085,0.2550141463414632,0.3200724422931671
0.3358669877052307,0.2548057317073171,0.32006821036338806
0.33584368228912354,0.2550558292682926,0.32004520297050476
0.33583471179008484,0.2553476097560975,0.3200346529483795
0.33583804965019226,0.2558478048780488,0.3200329840183258
0.33583518862724304,0.2555560243902439,0.3200450837612152
0.3358458876609802,0.2547640487804876,0.32006627321243286
0.33584290742874146,0.253888707317073,0.3200606107711792
0.3358345329761505,0.252638219512195,0.32005229592323303
0.33585241436958313,0.2516378292682926,0.32007405161857605
0.33584752678871155,0.2512209999999999,0.32006606459617615
0.3358480930328369,0.2512626829268292,0.3200458586215973
0.335870623588562,0.2519296097560974,0.32005754113197327
0.335834264755249,0.2523464390243901,0.320058137178421
0.33580663800239563,0.2526799024390243,0.3200526833534241
0.3358362019062042,0.2523881219512194,0.32005220651626587
0.335831880569458,0.2513043658536584,0.3200550377368927
0.33580896258354187,0.2500538780487804,0.3200562298297882
0.3358381688594818,0.2486366585365853,0.32005348801612854
0.3358705937862396,0.2477613170731706,0.3200698792934418
0.33584991097450256,0.2470527073170731,0.32007721066474915
0.33584025502204895,0.2469693414634146,0.3200691044330597
0.33585527539253235,0.2473028048780487,0.3200525939464569
0.3358343243598938,0.2473861707317072,0.3200359642505646
0.33583080768585205,0.2475529024390243,0.3200487196445465
0.3358554244041443,0.2475529024390243,0.32007279992103577
0.3358322083950043,0.2471777560975609,0.32005855441093445
0.3358173668384552,0.2466775609756097,0.32002994418144226
0.33585628867149353,0.2464691463414633,0.32005855441093445
0.33587560057640076,0.2460939999999999,0.32008233666419983
0.33583468198776245,0.2458855853658536,0.3200414478778839
0.33581629395484924,0.2460106341463414,0.3200271427631378
0.3358601927757263,0.2460523170731706,0.3200664818286896
0.33586129546165466,0.2465525121951218,0.3200750946998596
0.3358300030231476,0.247052707317073,0.32004794478416443
0.3358365595340729,0.2476779512195121,0.3200458586215973
0.33584660291671753,0.2482615121951218,0.3200612962245941
0.33584320545196533,0.2490118048780487,0.32006391882896423
0.335845023393631,0.2499705121951218,0.32005393505096436
0.33584436774253845,0.250929219512195,0.3200405240058899
0.33582761883735657,0.2519712926829267,0.3200414180755615
0.33580875396728516,0.2526799024390243,0.32003578543663025
0.3358190655708313,0.2531800975609755,0.32004639506340027
0.33585110306739807,0.2535969268292681,0.3200753629207611
0.335849791765213,0.2538053414634145,0.3200635612010956
0.33584848046302795,0.2539720731707315,0.3200555145740509
0.33584365248680115,0.2544722682926828,0.3200578987598419
0.33582475781440735,0.2546806829268291,0.32005828619003296
0.3358730971813202,0.255264243902439,0.3200705945491791
0.33588120341300964,0.2556810731707317,0.32007572054862976
0.33581870794296265,0.2560562195121951,0.3200543224811554
0.3358309268951416,0.2564313658536586,0.3200365900993347
0.33586814999580383,0.2564730487804876,0.32005032896995544
0.33585789799690247,0.2568481951219513,0.32007309794425964
0.33583635091781616,0.2570982926829268,0.3200676143169403
0.3358234465122223,0.2572233414634146,0.32004544138908386
0.33585068583488464,0.2573900731707316,0.3200521767139435
