Original Predictions,Original Values,Augmented Predictions
5.441808223724365,5.180664,5.337278366088867
5.441797256469727,5.185547,5.337277412414551
5.441798686981201,5.185547,5.337277412414551
5.4418182373046875,5.180664,5.337277412414551
5.441812992095947,5.180664,5.337277412414551
5.44180154800415,5.185547,5.337277412414551
5.441802501678467,5.180664,5.337277412414551
5.4418110847473145,5.180664,5.337277412414551
5.441813945770264,5.180664,5.337277412414551
5.44180965423584,5.185547,5.337277412414551
5.441805362701416,5.180664,5.337277412414551
5.441806316375732,5.180664,5.337277412414551
5.4418110847473145,5.180664,5.337277412414551
5.441807270050049,5.180664,5.337277412414551
5.441813945770264,5.180664,5.337277412414551
5.441813945770264,5.180664,5.337277412414551
5.441812038421631,5.180664,5.337277412414551
5.441809177398682,5.180664,5.337277412414551
5.44180154800415,5.185547,5.337277412414551
5.441812992095947,5.180664,5.337277412414551
5.441810131072998,5.180664,5.337277412414551
5.441806793212891,5.180664,5.337277412414551
5.441812515258789,5.180664,5.337277412414551
5.441809177398682,5.180664,5.337277412414551
5.44180965423584,5.180664,5.337277412414551
5.441810607910156,5.180664,5.337277412414551
5.441810131072998,5.180664,5.337277412414551
5.441810131072998,5.185547,5.337277412414551
5.44180965423584,5.180664,5.337277412414551
5.441809177398682,5.180664,5.337277412414551
5.441808223724365,5.180664,5.337277412414551
5.441810131072998,5.175781,5.337277412414551
5.441812038421631,5.180664,5.337277412414551
5.441807746887207,5.180664,5.337277889251709
5.44180154800415,5.180664,5.337277412414551
5.441806316375732,5.185547,5.337277412414551
5.441821575164795,5.185547,5.337278366088867
5.441813945770264,5.180664,5.337277412414551
5.441806316375732,5.180664,5.337277889251709
5.44181489944458,5.180664,5.337277889251709
5.441813945770264,5.180664,5.337277412414551
5.44181489944458,5.180664,5.337277412414551
5.44181489944458,5.180664,5.337277412414551
5.441798686981201,5.180664,5.337277889251709
5.441803932189941,5.180664,5.337277889251709
5.4418158531188965,5.180664,5.337277889251709
5.4418110847473145,5.180664,5.337277889251709
